no;testno;brand;model;power_l;matt;dim;color_l;lm_l;eq_l;ra_l;u;pf_l;angle_l;life;war;prod;w;d;h;t;barcode;plant;importer;base;shape;type;type2;url;shop;rub;usd;p;pf;lm;color;cri;r9;Rf;Rg;Duv;flicker230;flicker220;flicker207;flicker;angle;switch;umin;drv;tmax;date;instruments;add2;add3;add4;add5;cqs;eq;rating;lamp_image;lamp_desc
1;1;GE;Classic A50-SH/60W-ES-CL-179294;60;0;0.1;2700;710;60;;230;;;1000;;;;50;88;;0043168179294;;;E27;Bulb;STD;;;;10;;60;100;642;2718;98.6;99;;;;16;;;16;306;1;;;;24.01.2016;1111100000;;;;;;;4.7;00001-ge-classic-a50-sh-60w-es-cl-179294;Bulb 710Lm 60W 2700K E27
2;2;IKEA;202.225.52 E27 LED1207G11;10;1;20;2700;600;60;;220-240;;;25000;24;0613;;60;120;;20222552222789;;Икеа;E27;Bulb;LED;;;;299;;9.8;97;586;2741;92.5;67;;;;20;;;20;224;1;;;;04.02.2014;1111100000;;1;;без упак;;60;3.5;00002-ikea-20222552-e27-led1207g11;Bulb 600Lm 10W 2700K M E27
3;3;IKEA;402.540.90 E14 LED1216C6;7;1;0;2700;400;40;;220-240;;;25000;24;;;42;113;;40254090216339;;Икеа;E14;Candle;LED;;;;249;;6.8;84;472;2756;89.6;51;;;;63;;;63;223;1;;;;04.02.2014;1111100000;;5;;;;50;1.0;00003-ikea-40254090-e14-led1216c6;Candle 400Lm 7W 2700K M E14
4;4;Thomson;TL-A601027EV;10;1;0;2700;806;90;;220-240;;;25000;;;;60;120;;2071473968010;;;E27;Bulb;LED;;http://thomson-led.com;;440;;10;93;776;2749;81.3;17;;;;32;;;32;227;1;94;3;;04.02.2014;1111100000;;1;;;;75;3.0;00004-thomson-tl-a601027ev;Bulb 806Lm 10W 2700K M E27
5;5;Thomson;TL-CD0730EV;6.7;1;0;3000;480;60;;220-240;;;25000;;;;38;132;;2071473968010;;;E14;Candle;LED;;http://thomson-led.com;;270;;6.5;55;525;3125;81.7;19;;;;1;;;1;159;1;134;2;;04.02.2014;1111100000;;2;;;;55;4.5;00005-thomson-tl-cd0730ev;Candle 480Lm 6.7W 3000K M E14
6;6;Civilight;Omni A60 8716;11;1;0;2700;806;60;;220-240;;;25000;;;;62;123;;6942379987169;;;E27;Bulb;LED;;;;714;;10;88;682;2741;91.4;95;;;;17;;;17;299;1;;;;25.01.2016;1111100000;;;;;;70;4.6;00006-civilight-omni-a60-8716;Bulb 806Lm 11W 2700K M E27
7;7;Civilight;Dclear C37 8764;6.4;0;1;2700;400;40;;220-240;;;25000;;;;37;117;;6942379987640;;;E14;Candle;LED;;;;640;;6.2;65;422;2842;80.1;2;;;;11;;;11;102;1;;;;04.02.2014;1111100000;;6;;4 в люстре 1 в диммируемых;;50;4.5;00007-civilight-dclear-c37-8764;Candle 400Lm 6.4W 2700K D E14
8;8;Flexled;LED-E27-7W-WW;7;1;0;2700;485;50;80;220;;;40000;;;72;55;107;;4620009783658;;;E27;Bulb;LED;;http://fcenter.ru/product/goods/116596;;390;;7;56;512;2741;84.6;24;;;;0.3;;;0.3;246;1;113;2;;04.02.2014;1111100000;;;;;;55;4.5;00008-flexled-led-e27-7w-ww;Bulb 485Lm 7W 2700K M E27
9;9;Navigator;NLL-A60-11-230-2.7K-E27;11;1;0;2700;825;75;82;170-260;;;40000;24;1013;110;60;120;;4607136943841;;;E27;Bulb;LED;;;;290;;11;83;903;2754;82;11;;;;3;;;3;190;1;69;1;;29.07.2014;1111100000;;3;;;;85;4.5;00009-navigator-nll-a60-11-230-27k-e27;Bulb 825Lm 11W 2700K M E27
10;10;Navigator;NLL-A60-10-230-2.7K-E27;10;1;0;2700;750;75;82;170-260;;;30000;24;1113;58;60;110;;4607136943872;;;E27;Bulb;LED;;;;193;;11;49;800;2743;81.5;0;;;;1;;;1;230;1;112;1;;29.07.2014;1111100000;;2;;;;75;4.5;00010-navigator-nll-a60-10-230-27k-e27;Bulb 750Lm 10W 2700K M E27
11;11;Navigator;NLL-A55-8-230-2.7K-E27;8;1;0;2700;600;60;;170-260;;;40000;24;;;55;106;;4607136942677;;;E27;Bulb;LED;;;;195;;7.9;77;612;2882;81.8;12;;;;2;;;2;188;1;;;;29.07.2014;1111100000;;;;;;65;4.5;00011-navigator-nll-a55-8-230-27k-e27;Bulb 600Lm 8W 2700K M E27
12;12;Navigator;NLL-A55-8-230-4K-E27;8;1;0;4000;680;60;;170-260;;;40000;24;;;55;106;;4607136941335;;;E27;Bulb;LED;;;;195;;8;78;762;4181;82.1;13;;;;2;;;2;191;1;;;;29.07.2014;1111100000;;;;;;75;4.5;00012-navigator-nll-a55-8-230-4k-e27;Bulb 680Lm 8W 4000K M E27
13;13;Navigator;NLL-A60-7-230-2.7K-E27;7;1;0;2700;525;60;;170-260;;;30000;24;;;60;110;;4607136943858;;;E27;Bulb;LED;;;;158;;6.4;51;557;2715;82.3;12;;;;1;;;1;226;1;;;;29.07.2014;1111100000;;;;;;60;4.5;00013-navigator-nll-a60-7-230-27k-e27;Bulb 525Lm 7W 2700K M E27
14;14;Navigator;NLL-P-C37-5-230-4K-E14-FR;5;1;0;4000;370;40;;220-240;;;30000;24;;;37;105;;4607136944824;;;E14;Candle;LED;;;;150;;4.3;44;393;4233;85.2;26;;;;27;;;27;167;1;;;;29.07.2014;1111100000;;;;;;45;3.0;00014-navigator-nll-p-c37-5-230-4k-e14-fr;Candle 370Lm 5W 4000K M E14
15;15;Navigator;NLL-C37-5-230-2.7K-E14-FR-DIMM;5;1;1;2700;350;40;82;170-260;;;40000;24;1213;;37;104;;4607136943766;;;E14;Candle;LED;;;;530;;5.2;66;383;2803;83;7;;;;16;;;16;219;1;;;;29.07.2014;1111100000;;1;;в люстре;;45;4.5;00015-navigator-nll-c37-5-230-27k-e14-fr-dimm;Candle 350Lm 5W 2700K M D E14
16;16;Navigator;NLL-MR16-5-230-3K-GU5.3;5;1;0;3000;360;35;;170-260;;;30000;24;;;50;40;;4607136942639;;;GU5.3;Spot;LED;;;;143;;5;51;382;3095;83.2;9;;;;5;;;5;102;1;;;;23.03.2015;1111100000;;;;;;45;4.5;00016-navigator-nll-mr16-5-230-3k-gu53;Spot 360Lm 5W 3000K M GU5.3
17;17;noname;Bulb 7W;7;1;0;3000;580;60;;90-260;;;40000;;;;60;120;;;;;E27;Bulb;LED;;http://www.aliexpress.com/snapshot/226342623.html;;;6.2;6.1;48;406;2902;78.9;-3;;;;2;;;2;134;3;;;;04.02.2014;1111100000;;2;;;;45;3.4;00017-bulb-7w;Bulb 580Lm 7W 3000K M E27
18;18;noname;Bulb 9W;9;1;0;3000;900;90;;85-265;;;50000;;;;59;107;;;;;E27;Bulb;LED;;http://www.aliexpress.com/snapshot/222306235.html;;;10.2;9;52;752;2905;60.3;-63;;;;1;;;1;129;3;;;;04.02.2014;1111100000;;1;;;;75;1.8;00018-bulb-9w;Bulb 900Lm 9W 3000K M E27
19;19;noname;Bulb 9W COB;9;1;0;3000;900;90;;85-265;;;50000;;;;58;111;;;;;E27;Bulb;LED;;http://www.aliexpress.com/snapshot/222312476.html;;;10.6;8.9;49;685;3091;61.7;-63;;;;1;;;1;139;3;;;;04.02.2014;1111100000;;1;;;;70;1.5;00019-bulb-9w-cob;Bulb 900Lm 9W 3000K M E27
20;20;noname;Candle Dimmable 9W;9;0;1;3000;500;50;;85-265;;;50000;;;;38;107;;;;;E14;Candle;LED;;http://www.aliexpress.com/snapshot/225371974.html;;;3.5;5.8;56;200;2934;62.6;-56;;;;62;;;62;172;1;;;;04.02.2014;1111100000;;3;;;;25;0.2;00020-candle-dimmable-9w;Candle 500Lm 9W 3000K D E14
21;21;noname;Candle Dimmable 12W;12;0;1;3000;630;45;;85-265;;;150000;;;;39;115;;;;;E14;Candle;LED;;http://www.aliexpress.com/snapshot/285301313.html;;;7.4;5.7;57;269;3207;64.2;-57;;;;74;;;74;35;1;;;;04.02.2014;1111100000;;1;;;;30;0.3;00021-candle-dimmable-12w;Candle 630Lm 12W 3000K D E14
22;22;noname;Corn 6500K 9W;9;0;0;6500;800;75;;85-265;;;;;;;36;108;;;;;E27;Corn;LED;;http://www.buyincoins.com/item/4351.html;;;4.0;7.7;49;427;6227;68.1;-39;;;;68;;;68;280;2;;;;04.02.2014;1111100000;;1;;;;50;0.3;00022-corn-6500k-9w;Corn 800Lm 9W 6500K E27
23;23;noname;Corn COB 9W;9;1;0;3000;800;75;;220;;;100000;;;;36;110;;;;;E14;Corn;LED;;http://www.aliexpress.com/snapshot/260845094.html;;;5.8;5.3;53;299;3241;67.3;-48;;;;95;;;95;287;2;;;;04.02.2014;1111100000;;1;;;;35;0.2;00023-corn-cob-9w;Corn 800Lm 9W 3000K M E14
24;24;noname;Corn COB 8W;8;1;0;3000;800;75;;220;;;50000;;;;36;108;;;;;E27;Corn;LED;;http://www.aliexpress.com/snapshot/222305774.html;;;8.5;5.3;53;267;3159;66.3;-50;;;;97;;;97;286;2;;;;04.02.2014;1111100000;;1;;;;30;0.2;00024-corn-cob-8w;Corn 800Lm 8W 3000K M E27
25;25;noname;Corn COB 7W;7;1;0;3000;500;50;;220;;;50000;;;;36;110;;;;;E14;Corn;LED;;http://www.aliexpress.com/snapshot/260845092.html;;;7.6;5.1;52;437;2878;61.6;-63;;;;96;;;96;284;2;;;;04.02.2014;1111100000;;1;;;;50;0.8;00025-corn-cob-7w;Corn 500Lm 7W 3000K M E14
26;26;noname;Corn 5.5W BIC;5.5;0;0;3000;400;40;;85-265;;;30000;;;;32;95;;;;;E14;Corn;LED;;http://www.buyincoins.com/item/32240.html;;;4.0;5;49;345;2935;63.8;-49;;;;2;;;2;277;3;;;;04.02.2014;1111100000;;1;;;;40;1.8;00026-corn-55w-bic;Corn 400Lm 5.5W 3000K E14
27;27;noname;Yaloo E14-120SMD3528WW;7;0;0;3000;700;75;;220;;;;;;;32;83;;;;;E14;Corn;LED;;http://www.aliexpress.com/snapshot/226342622.html;;;7.5;4.9;42;221;2959;64.3;-48;;;;75;;;75;273;2;;;;04.02.2014;1111100000;;1;;;;25;0.2;00027-yaloo-e14-120smd3528ww;Corn 700Lm 7W 3000K E14
28;28;noname;Corn 5.5W;5.5;0;0;3000;450;40;;240;;;60000;;;;32;77;;;;;E14;Corn;LED;;http://www.aliexpress.com/snapshot/226342620.html;;;3.7;3.4;43;133;2812;62.4;-51;;;;72;;;72;260;2;;;;04.02.2014;1111100000;;1;;;;20;0.0;00028-corn-55w;Corn 450Lm 5.5W 3000K E14
29;29;GE;Classic A50/40W-ES-FR-179386;40;1;1;2700;415;40;;230;;;1000;;;;50;92;;0043168179386;;;E27;Bulb;STD;;;;10;;40;100;364;2705;98.6;99;;;;21;;;21;325;1;;;;24.01.2016;1111100000;;;;;;;3.3;00029-ge-classic-a50-40w-es-fr-179386;Bulb 415Lm 40W 2700K M D E27
30;30;GE;Classic C35/40W-230V-CL-E14;40;0;1;2700;400;40;;230;;;1000;;;;35;95;;0043168743952;;;E14;Candle;STD;;;;15;;39.2;100;406;2747;98.6;99;;;;20;;;20;302;1;;;;24.01.2016;1111100000;;;;;;;3.5;00030-ge-classic-c35-40w-230v-cl-e14;Candle 400Lm 40W 2700K D E14
31;31;GE;Classic C35/40W-F-SES-284251;40;1;1;2700;400;40;;230;;;1000;;;;35;95;;5994102284251;;;E14;Candle;STD;;;;15;;39.7;100;383;2701;98.7;99;;;;19;;;19;297;1;;;;24.01.2016;1111100000;;;;;;;4.8;00031-ge-classic-c35-40w-f-ses-284251;Candle 400Lm 40W 2700K M D E14
32;32;Osram;Classic A FR 60W 230V;60;1;1;2700;710;60;;230;;;1000;;;;55;94;;4050300005485;;;E27;Bulb;STD;;https://www.ledvance.com.ru/;;10;;59.7;100;710;2736;98.6;99;;;;15;;;15;306;1;;;;24.01.2016;1111100000;;;;;;;4.8;00032-osram-classic-a-fr-60w-230v;Bulb 710Lm 60W 2700K M D E27
33;33;Osram;Classic A FR 75W 230V;75;1;1;2700;935;75;;230;;;1000;;;;55;94;;4008321419682;;;E27;Bulb;STD;;https://www.ledvance.com.ru/;;10;;74.8;100;991;2827;98.8;100;;;;13;;;13;316;1;;;;24.01.2016;1111100000;;;;;;;4.8;00033-osram-classic-a-fr-75w-230v;Bulb 935Lm 75W 2700K M D E27
34;34;Camelion;95/A/CL/E27;95;1;1;2700;1250;95;;220-240;;;1000;;;;50;88;;4895117846285;;;E27;Bulb;STD;;;;10;;98.1;100;1305;2800;98.7;99;;;;11;;;11;297;1;;;;24.01.2016;1111100000;;;;;;;4.8;00034-camelion-95-a-cl-e27;Bulb 1250Lm 95W 2700K M D E27
35;35;Ecola;G4FW33ELC;3.3;1;0;2800;250;30;;220;;;30000;;;;39;67;;6925587241445;;;E14;R39;LED;;http://ecola.ru/catalogue3.html;;160;;3;34;246;3073;72.6;-18;;;;75;;;75;102;2;;;;23.03.2015;1111100000;;1;;;;40;1.0;00035-ecola-g4fw33elc;R39 250Lm 3.3W 2800K M E14
36;36;BBK;A1003F;10;1;0;3000;835;75;;220;;;30000;;;;65;122;;4897030807763;;;E27;Bulb;LED;;http://bbk.ru/production/light/led_lamps/a1003f/;;286;;7.9;66;626;3021;73.2;-17;;;;1;;;1;133;1;;;;29.07.2014;1111100000;;;;;;65;2.9;00036-bbk-a1003f;Bulb 835Lm 10W 3000K M E27
37;37;BBK;A703F;7;1;0;3000;520;50;;220;;;30000;;;;60;114;;4897030807749;;;E27;Bulb;LED;;http://bbk.ru/production/light/led_lamps/a703f/;;191;;7.4;51;533;3052;77.3;-2;;;;2;;;2;178;1;;;;18.11.2014;1111100000;;;;;;55;4.0;00037-bbk-a703f;Bulb 520Lm 7W 3000K M E27
38;38;Gauss;LD102502113;13.5;1;0;2700;1170;100;;100-240;;;50000;36;0114;;60;125;;4627081051484;;;E27;Bulb;LED;;;;;;13;59;1102;2999;73.7;-14;;;;1;;;1;192;1;111;1;;29.07.2014;1111100000;;1;;;;95;3.4;00038-gauss-ld102502113;Bulb 1170Lm 13.5W 2700K M E27
39;39;Gauss;LD102502110;10;1;0;2700;890;75;;100-240;;;50000;36;0114;;60;120;;4627081051446;;;E27;Bulb;LED;;http://www.gauss-russia.ru/catalog/item/64;;352;;9.1;58;822;3002;73.5;-14;;;;3;;;3;197;3;148;1;;29.07.2014;1111100000;;;;;;80;3.4;00039-gauss-ld102502110;Bulb 890Lm 10W 2700K M E27
40;40;Gauss;EB103101106;6;1;0;2700;510;60;;220-240;;;35000;36;;;37;107;;4627081054461;;;E14;Candle;LED;;http://www.gauss-online.ru/gauss/2854/eb103101106-svecha-6vt-e14-2700k-led/;;162;;5.8;52;468;3084;72.8;-18;;;;1;;;1;220;1;;;;29.07.2014;1111100000;;;;;;50;3.4;00040-gauss-eb103101106;Candle 510Lm 6W 2700K M E14
41;41;Gauss;LD33116;6;1;0;2700;540;60;;100-240;;;25000;36;;;38;112;;4627081051651;;;E14;Candle;LED;;http://www.gauss-russia.ru/catalog/item/371;;203;;5.9;56;521;3079;75.7;-10;;;;2;;;2;205;0;;;;29.07.2014;1111100000;;;;;;55;4.0;00041-gauss-ld33116;Candle 540Lm 6W 2700K M E14
42;42;Gauss;HA103201105-D;5;0;1;2700;400;60;;220-240;;;50000;36;;;35;122;;4627081050746;;;E14;Candle;LED;;http://www.gauss-online.ru/gauss/2852/ha103201105-d-svecha-prozrachnaia-5vt-e14-2700k-led/;;327;;6.7;50;278;2754;82.9;16;;;;59;;;59;257;1;;;;29.07.2014;1111100000;;;;;;35;0.4;00042-gauss-ha103201105-d;Candle 400Lm 5W 2700K D E14
43;43;Gauss;HA103201103;3;0;0;2700;250;40;;100-240;;;30000;36;;;35;107;;4620747867726;;;E14;Candle;LED;;;;359;;2.7;52;200;2776;82.7;14;;;;2;;;2;264;3;;;;29.07.2014;1111100000;;;;;;25;4.2;00043-gauss-ha103201103;Candle 250Lm 3W 2700K E14
44;44;Thomson;TL-60W Classic;6;0;0;3000;560;60;;220-240;;;25000;;;;60;112;;4603720965091;;;E27;Bulb;LED;FIL;;;780;;5.7;58;614;3162;82.7;12;;;;1;;;1;279;1;160;3;;15.01.2015;1111100000;;2;;;;65;4.5;00044-thomson-tl-60w-classic;Bulb 560Lm 6W 3000K F E27
45;45;Thomson;TL-40W Classic;4;0;0;3000;350;40;;220-240;;;25000;;;;35;144;;4603720965107;;Икеа;E14;Candle;LED;FIL;;;341;;4.1;56;380;3018;81.5;6;;;;1;;;1;275;1;;;;15.01.2015;1111100000;;;;;;45;4.5;00045-thomson-tl-40w-classic;Candle 350Lm 4W 3000K F E14
46;46;IKEA;002.574.82 E27 LED1309G15;13;1;1;2700;1000;100;;220-240;;;25000;24;;;60;125;;00257482216339;;Икеа;E27;Bulb;LED;;;;799;;12.3;94;924;2741;91.6;58;;;;17;;;17;230;1;;;;07.04.2016;1111100000;;1;;;;85;4.7;00046-ikea-00257482-e27-led1309g15;Bulb 1000Lm 13W 2700K M D E27
47;47;IKEA;102.662.21 E27 LED1339G10;10;1;1;2700;600;60;;220-240;;;25000;24;;;60;120;;10266221216339;;Икеа;E27;Bulb;LED;;;;499;;8.3;92;605;2696;94.4;70;;;;22;;;22;252;1;;;;18.08.2015;1111100000;;1;IS;эталон;;65;3.5;00047-ikea-10266221-e27-led1339g10;Bulb 600Lm 10W 2700K M D E27
48;48;IKEA;702.871.07 E27 LED1402G8K4;8;1;1;4000;600;60;;220-240;;;25000;24;;;60;120;;70287107216339;;Икеа;E27;Bulb;LED;;;;499;;7.2;95;636;4180;83.9;12;;;;18;;;18;253;1;;;;07.04.2016;1111100000;;1;;;;65;4.5;00048-ikea-70287107-e27-led1402g8k4;Bulb 600Lm 8W 4000K M D E27
49;49;IKEA;003.014.23 E27 LED1423G9;8.6;0;1;2700;600;60;;220-240;;;25000;24;;;60;110;;00301423228589;;Икеа;E27;Bulb;LED;;;;499;;8.4;96;592;2668;92.1;61;;;;17;;;17;196;1;;;;23.03.2015;1111100000;;;;;;60;4.8;00049-ikea-00301423-e27-led1423g9;Bulb 600Lm 8.6W 2700K D E27
50;50;IKEA;102.666.93 E27 LED1221G7;6.3;1;0;2700;400;40;;220-240;;;25000;24;;;60;109;;10266693216339;;Икеа;E27;Bulb;LED;;;;169;;6.4;76;410;2743;91.5;54;;;;20;;;20;255;1;;;;23.03.2015;1111100000;;;;;;45;3.5;00050-ikea-10266693-e27-led1221g7;Bulb 400Lm 6.3W 2700K M E27
51;51;IKEA;402.880.66 E27 LED1325G3;3.5;1;0;2700;200;20;;220-240;;;25000;24;;;45;72;;40288066216339;;Икеа;E27;G45;LED;;;;299;;3.5;59;213;2739;94.7;72;;;;7;;;7;214;1;;;;07.04.2016;1111100000;;1;;;;25;4.9;00051-ikea-40288066-e27-led1325g3;G45 200Lm 3.5W 2700K M E27
52;52;IKEA;902.552.90 E14 LED1012G5;3.5;1;0;2700;200;20;;220-240;;;25000;24;;;45;79;;90255290216339;;Икеа;E14;G45;LED;;;;169;;3.4;59;210;2672;95.6;76;;;;15;;;15;128;1;;;;18.08.2015;1111100000;;1;;;;25;4.8;00052-ikea-90255290-e14-led1012g5;G45 200Lm 3.5W 2700K M E14
53;53;IKEA;802.489.93 E14 LED1221G7;6.3;1;0;2700;400;40;;220-240;;;25000;24;;;60;109;;80248993216339;;Икеа;E14;Bulb;LED;;;;169;;6.5;78;413;2664;93.1;64;;;;15;;;15;257;1;;;;23.03.2015;1111100000;;;;;;45;4.8;00053-ikea-80248993-e14-led1221g7;Bulb 400Lm 6.3W 2700K M E14
54;54;IKEA;602.880.70 E14 LED1328C6;6.3;1;0;2700;400;40;;220-240;;;25000;24;;;42;110;;60288070216339;;Икеа;E14;Candle;LED;;;;249;;5.7;74;405;2697;92.2;55;;;;24;;;24;248;1;;;;23.03.2015;1111100000;;1;IS;;;45;3.5;00054-ikea-60288070-e14-led1328c6;Candle 400Lm 6.3W 2700K M E14
55;55;IKEA;102.880.01 E14 LED1327C3;3.5;0;0;2700;200;20;;220-240;;;25000;24;;;35;102;;10288001216339;;Икеа;E14;Candle;LED;;;;199;;3.4;59;228;2688;95.6;75;;;;8;;;8;231;1;;;;23.03.2015;1111100000;;1;;;;30;4.9;00055-ikea-10288001-e14-led1327c3;Candle 200Lm 3.5W 2700K E14
56;56;IKEA;802.879.89 E14 LED1318R4;3.6;0;0;2700;200;20;;220-240;;;25000;24;;;50;84;;80287989216339;;Икеа;E14;Spot;LED;;;;249;;3.6;50;210;2743;83;17;;;;4;;;4;33;1;;;;23.03.2015;1111100000;;1;;;;25;4.5;00056-ikea-80287989-e14-led1318r4;Spot 200Lm 3.6W 2700K E14
57;57;IKEA;402.880.52 GU10 LED1334R7;6.3;0;1;2700;400;40;;220-240;;;25000;24;;;50;60;;40288052216339;;Икеа;GU10;Spot;LED;;;;249;;5.7;94;444;2782;82.3;7;;;;29;;;29;38;1;;;;23.03.2015;1111100000;;2;;;;50;3.0;00057-ikea-40288052-gu10-led1334r7;Spot 400Lm 6.3W 2700K D GU10
58;58;Navigator;NLL-F-C35-4-230-2.7K-E14;4;0;0;2700;350;40;;176-264;;;30000;24;1014;14;35;100;;4670004713075;;;E14;Candle;LED;FIL;;;221;;3.4;61;369;2877;83.7;17;;;;5;;;5;286;1;218;4;;18.08.2015;1111100000;;;;;;40;4.5;00058-navigator-nll-f-c35-4-230-27k-e14;Candle 350Lm 4W 2700K F E14
59;59;Navigator;NLL-F-A60-6-230-2.7K-E27;6;0;0;2700;650;60;;176-264;;;30000;24;;;60;105;;4670004713051;;;E27;Bulb;LED;FIL;;;286;;6;56;565;2757;83.9;15;;;;3;;;3;301;1;;;;18.08.2015;1111100000;;;;;;60;4.3;00059-navigator-nll-f-a60-6-230-27k-e27;Bulb 650Lm 6W 2700K F E27
60;60;Navigator;NLL-F-A60-8-230-2.7K-E27;8;0;0;2700;780;75;;176-264;;;30000;24;;;60;105;;4670004713068;;;E27;Bulb;LED;FIL;;;377;;6.9;58;746;2685;83.7;16;;;;4;;;4;298;1;;;;18.08.2015;1111100000;;;;;;75;4.5;00060-navigator-nll-f-a60-8-230-27k-e27;Bulb 780Lm 8W 2700K F E27
61;61;Osram;LED STAR CLASSIC A 60 FR 9.5w /827;9.5;1;0;2700;806;60;;220-240;;;10000;;;;60;120;;4052899926615;;;E27;Bulb;LED;;https://www.ledvance.com.ru/;;492;;9.5;91;780;2742;85.9;29;;;;34;;;34;246;1;;;;23.03.2015;1111100000;;;;;;75;3.0;00061-osram-led-star-classic-a-60-fr-95w--827;Bulb 806Lm 9.5W 2700K M E27
62;62;Wolta;25Y55BL9E27;9;1;0;3000;800;75;;220-240;;;25000;;;;55;102;;4260375480128;;;E27;Bulb;LED;;http://www.wolta.ru/catalog/svetovye-resheniya/svetodiodnye-lampy/25Y55BL9E27-detail;;295;;8.5;51;762;2988;83.5;13;;;;3;;;3;149;3;;;;23.03.2015;1111100000;;;;;;75;4.5;00062-wolta-25y55bl9e27;Bulb 800Lm 9W 3000K M E27
63;63;Wolta;Simple 25Y60BL8E27-S;8;1;0;3000;680;60;;220;;;25000;;;;60;115;;4260375480722;;;E27;Bulb;LED;;http://www.wolta.ru/catalog/svetovye-resheniya/svetodiodnye-lampy/25Y60BL8E27-S-detail;;191;;8;53;668;2963;82.8;3;;;;5;;;5;175;1;;;;23.03.2015;1111100000;;;;;;70;4.5;00063-wolta-simple-25y60bl8e27-s;Bulb 680Lm 8W 3000K M E27
64;64;noname;Candle matt;9;1;0;3000;600;60;;220;;;30000;;;;39;110;;;;;E14;Candle;LED;;http://www.aliexpress.com/snapshot/6362069986.html?orderId=64738544525376;;;3.0;3;44;151;3166;63.5;-58;;;;2;;;2;189;3;;;;23.03.2015;1111100000;;1;;;;20;1.2;00064-candle-matt;Candle 600Lm 9W 3000K M E14
65;65;noname;Candle pyramid;5;0;0;3000;300;30;;85-265;;;30000;;;;35;113;;;;;E14;Candle;LED;;http://www.aliexpress.com/snapshot/6362069987.html?orderId=64738544515376;;;1.9;2.3;19;171;3192;63;-60;;;;34;;;34;261;2;;;;23.03.2015;1111100000;;1;;;;20;1.3;00065-candle-pyramid;Candle 300Lm 5W 3000K E14
66;66;GE;PYGMY EDOB-25/15W-240V-E14-CL-GE;15;1;1;2290;90;15;;240;;;1000;;;;26;56;;5994102285531;;;E14;Bulb;STD;;;;;;15.2;100;83;2277;99;98;;;;20;;;20;281;1;;;;23.03.2015;1111100000;;;;;;;3.4;00066-ge-pygmy-edob-25-15w-240v-e14-cl-ge;Bulb 90Lm 15W 2290K M D E14
67;67;Лисма;Б230-25-2;25;0;1;2700;230;25;;230;;;1000;;;;50;93;;4670000010161;;;E27;Bulb;STD;;http://www.lisma-guprm.ru/katalog-produktsii/obshchego-naznacheniya/;;20;;25.2;100;302;2788;98.8;99;;;;31;;;31;310;1;;;;23.03.2015;1111100000;;;;;;;3.0;00067-lisma-b230-25-2;Bulb 230Lm 25W 2700K D E27
68;68;Лисма;Б230-40-4;40;0;1;2700;415;40;;230;;;1000;;;;50;93;;4670000010994;;;E27;Bulb;STD;;http://www.lisma-guprm.ru/katalog-produktsii/obshchego-naznacheniya/;;20;;41.1;100;411;2725;98.7;99;;;;19;;;19;320;1;;;;24.01.2016;1111100000;;;;;;;4.8;00068-lisma-b230-40-4;Bulb 415Lm 40W 2700K D E27
69;69;Лисма;Б230-60-2;60;0;1;2700;710;60;;230;;;1000;;;;50;93;;4670000010185;;;E27;Bulb;STD;;http://www.lisma-guprm.ru/katalog-produktsii/obshchego-naznacheniya/;;20;;62.8;100;799;2900;98.7;99;;;;16;;;16;312;1;;;;24.01.2016;1111100000;;;;;;;4.8;00069-lisma-b230-60-2;Bulb 710Lm 60W 2700K D E27
70;70;Лисма;Б230-75;75;0;1;2700;935;75;;230;;;1000;;;;50;93;;4670000010192;;;E27;Bulb;STD;;http://www.lisma-guprm.ru/katalog-produktsii/obshchego-naznacheniya/;;20;;74.3;100;852;2758;98.8;100;;;;12;;;12;309;1;;;;24.01.2016;1111100000;;;;;;;4.7;00070-lisma-b230-75;Bulb 935Lm 75W 2700K D E27
71;71;Лисма;Б230-95-2;95;0;1;2700;1240;95;;230;;;1000;;;;50;93;;4670000013926;;;E27;Bulb;STD;;http://www.lisma-guprm.ru/katalog-produktsii/obshchego-naznacheniya/;;20;;93.4;100;1305;2847;98.7;99;;;;12;;;12;315;1;;;;24.01.2016;1111100000;;;;;;;4.8;00071-lisma-b230-95-2;Bulb 1240Lm 95W 2700K D E27
72;72;Лисма;Б230-200;200;0;1;2700;2480;200;;230-240;;;1000;;;;70;126;;;;;E27;Bulb;STD;;http://www.lisma-guprm.ru/katalog-produktsii/obshchego-naznacheniya/;;;;191;100;2440;2861;98.7;99;;;;8;;;8;332;1;;;;23.01.2016;1111100000;;;;;;;4.9;00072-lisma-b230-200;Bulb 2480Lm 200W 2700K D E27
73;73;Калашниково;Favor ДС 230-40 В36;40;0;1;2700;390;40;;230;;;1000;;;;35;93;;4605645003117;;;E27;Candle;STD;;http://kelz.ru/catalog/favor/electro/decor_candel/;;20;;38.7;100;332;2650;98.8;99;;;;21;;;21;292;1;;;;23.03.2015;1111100000;;;;;;;3.3;00073-kalashnikovo-favor-ds-230-40-v36;Candle 390Lm 40W 2700K D E27
74;74;Калашниково;ДС 230-60 В36;60;0;1;2700;660;60;;230;;;1000;;;;35;98;;4605645001311;;;E14;Candle;STD;;http://kelz.ru/catalog/kalashnikovo/decor_candel/;;20;;59.7;100;610;2747;98.8;99;;;;15;;;15;303;1;;;;24.01.2016;1111100000;;;;;;;4.7;00074-kalashnikovo-ds-230-60-v36;Candle 660Lm 60W 2700K D E14
